Date2,Date3,Date1,Date,Close/Last,Volume,Open,High,Low
02/21/2018,21-02-2018,02/21/2018,2018/02/21,61.68,458438,61.63,61.86,60.92
02/22/2018,22-02-2018,02/22/2018,2018/02/22,62.77,579428,61.34,63.09,60.75
02/23/2018,23-02-2018,02/23/2018,2018/02/23,63.55,447649,62.6,63.73,62.33
02/26/2018,26-02-2018,02/26/2018,2018/02/26,63.91,459462,63.6,64.24,63.06
02/27/2018,27-02-2018,02/27/2018,2018/02/27,63.01,549537,64.06,64.08,62.64
02/28/2018,28-02-2018,02/28/2018,2018/02/28,61.64,747504,62.79,63.44,61.36
03-01-2018,01-03-2018,03-01-2018,2018/03/01,60.99,798419,61.55,61.83,60.18
03-02-2018,02-03-2018,03-02-2018,2018/03/02,61.25,598959,61.34,61.6,60.13
03-05-2018,05-03-2018,03-05-2018,2018/03/05,62.57,587885,61.55,62.79,61.1
03-06-2018,06-03-2018,03-06-2018,2018/03/06,62.6,609507,62.58,63.28,62.17
03-07-2018,07-03-2018,03-07-2018,2018/03/07,61.15,841910,62.3,62.58,60.58
03-08-2018,08-03-2018,03-08-2018,2018/03/08,60.12,682133,61.33,61.4,59.95
03-09-2018,09-03-2018,03-09-2018,2018/03/09,62.04,622050,60.27,62.18,60.14
03-12-2018,12-03-2018,03-12-2018,2018/03/12,61.36,514573,62.1,62.33,60.67
03/13/2018,13-03-2018,03/13/2018,2018/03/13,60.71,715240,61.37,61.97,60.27
03/14/2018,14-03-2018,03/14/2018,2018/03/14,60.96,644826,60.87,61.33,60.11
03/15/2018,15-03-2018,03/15/2018,2018/03/15,61.19,410630,60.95,61.54,60.82
03/16/2018,16-03-2018,03/16/2018,2018/03/16,62.34,183779,61.19,62.54,61.08
03/19/2018,19-03-2018,03/19/2018,2018/03/19,62.06,82779,62.23,62.35,61.36
03/20/2018,20-03-2018,03/20/2018,2018/03/20,63.4,26171,62.1,63.81,62.08
03/21/2018,21-03-2018,03/21/2018,2018/03/21,65.17,743982,63.72,65.55,63.58
03/22/2018,22-03-2018,03/22/2018,2018/03/22,64.3,670939,65.5,65.74,64.14
03/23/2018,23-03-2018,03/23/2018,2018/03/23,65.88,729028,64.28,66,64.11
03/26/2018,26-03-2018,03/26/2018,2018/03/26,65.55,570680,65.9,66.55,65.08
03/27/2018,27-03-2018,03/27/2018,2018/03/27,65.25,654651,65.53,66.41,64.53
03/28/2018,28-03-2018,03/28/2018,2018/03/28,64.38,678843,64.7,65.13,63.72
03/29/2018,29-03-2018,03/29/2018,2018/03/29,64.94,535282,64.69,65.26,64.16
04-02-2018,02-04-2018,04-02-2018,2018/04/02,63.01,567607,64.91,65.42,62.8
04-03-2018,03-04-2018,04-03-2018,2018/04/03,63.51,508537,62.89,63.86,62.86
